Configuration,Threads,Time(s)
0.9M,1,0.028971
0.9M,2,0.018122
0.9M,4,0.010637
0.9M,8,0.009451
0.9M,16,0.011093
5M,1,0.165851
5M,2,0.084869
5M,4,0.047133
5M,8,0.045807
5M,16,0.045399
3.6M,1,0.127530
3.6M,2,0.068659
3.6M,4,0.039728
3.6M,8,0.042458
3.6M,16,0.053878
20M,1,0.924769
20M,2,0.403472
20M,4,0.227689
20M,8,0.228129
20M,16,0.231626
14M,1,1.643468
14M,2,0.892980
14M,4,0.481670
14M,8,0.747738
14M,16,1.691627
